tbl,year,qtr,region_name,prj_id,prj_title,total_employment
ByQtr,2015,1,CALABARZON,109,"Production Efficiency of Fresh Miki through a Mechanized Packaging System (New A.M. Miki Factory)",43
ByQtr,2015,1,CALABARZON,75,"Upgrading of the Metal Fabrication Facility of Macky Industrial and General Services through Provision of Equipment",23
ByQtr,2015,1,CALABARZON,40,"Biogas System Facility for Proper Farm Waste Disposal and Source of Renewable  Energy  for JFarm Agri Enterprise",30
ByQtr,2015,1,CALABARZON,97,"Productivity and Capability Improvement of Jacobina Biscuit Producers through Technology Enhancement",0
ByQtr,2015,1,CALABARZON,281,"Automation of Anodizing Line of Iron Lady Design and Finishing Works",0
ByQtr,2015,1,CALABARZON,94,"Capability and Capacity  Enhancement of JTEC Machine Shop through the Acquisition of  Metal Working Equipment",24
ByQtr,2015,1,CALABARZON,232,"Non Mist Clonal Propagation Technique for Multiplication of Male Bignay Tree for sustainability and Reforestation Program of",0
ByQtr,2015,1,CALABARZON,118,"Enhancing Productivity of Ehje&#039;s Homemade Products on Peanut Butter Production",0
ByQtr,2015,1,CALABARZON,318,"Production Improvement and Equipment Upgrading for Sally&#039;s Boat Tart",0
ByQtr,2015,1,CALABARZON,25,"Processing and Product Quality Improvement of R.R. Magcawas Iron Works and Services",49
ByQtr,2015,1,CALABARZON,250,"Adoption of Safety Equipment Technologies and Upgrading of Production                                               Facility of MZ Design Furniture",0
ByQtr,2015,1,CALABARZON,130,"Product Development and Equipment Upgrading for Mel and Vic Food Products",14
ByQtr,2015,1,CALABARZON,266,"Enhancement of the Production System and Marketing Potential of System of Eden&#039;s Pastillas through the DOST&#039;s SETUP Program",0
ByQtr,2015,1,CALABARZON,82,"Technology Enhancement of Dolly&#039;s Banana Chips through the Acquisition of Equipment and Improvement of the Product Packaging",40
ByQtr,2015,1,CALABARZON,190,"Product Quality &amp; Production Process Enhancement Through Science  and Technology Interventions of Glofon Herbal Medicine in Antipolo City",0
ByQtr,2015,1,CALABARZON,50,"Upgrading of production facility of MAB Poultry Farm through Equipment Acquisition",25
